address,chain,name,entity,category,tags
0x0577521a1f005bd663d0fa7f37f0dbac4d7f55b98791d280b158346d9551ff2b,starknet,Nostra,Nostra,lending,"defi,lending"
0x002fc2d4b41cc1f03d185e6681cbd40cced61915d4891517a042658d61cba3b1,starknet,Nostra,Nostra,lending,"defi,lending"
0x002bebc40e96b6f2247cc1992d720aed76d9edd7ee9c68cc949deea54defb965,starknet,Nostra,Nostra,lending,"defi,lending"
0x05dcd26c25d9d8fd9fc860038dcb6e4d835e524eb8a85213a8cda5b7fff845f6,starknet,Nostra,Nostra,lending,"defi,lending"
0x00ba3037d968790ac486f70acaa9a1cab10cf5843bb85c986624b4d0e5a82e74,starknet,Nostra,Nostra,lending,"defi,lending"
0x0360f9786a6595137f84f2d6931aaec09ceec476a94a98dcad2bb092c6c06701,starknet,Nostra,Nostra,lending,"defi,lending"
0x07f232e7857effe04f7351e9bb2f1ebc2589bacca3380ae84efcc22067c1436e,starknet,Nostra,Nostra,lending,"defi,lending"
0x01fecadfe7cda2487c66291f2970a629be8eecdcb006ba4e71d1428c2b7605c7,starknet,Nostra,Nostra,lending,"defi,lending"
0x0285aa1c4bbeef8a183fb7245f096ddc4c99c6b2fedd1c1af52a634c83842804,starknet,Nostra,Nostra,lending,"defi,lending"
0x05ae9c593b2bef20a8d69ae7abf1e6da551481f9efd83d03a9f05b6d7c9a78ec,starknet,Nostra,Nostra,lending,"defi,lending"
0x03d51776d3ce07c211d5dbdf40a9333ec6d6d3a0b2853de1d6706f9ea3b88d45,starknet,Nostra,Nostra,lending,"defi,lending"
0x03f8c9062f1bfe45f82cd70ed97ff053bc5836783ec66adfe3288eb1b43aa83b,starknet,Nostra,Nostra,lending,"defi,lending"
0x05b7d301fa769274f20e89222169c0fad4d846c366440afc160aafadd6f88f0c,starknet,Nostra,Nostra,lending,"defi,lending"
0x0491480f21299223b9ce770f23a2c383437f9fbf57abc2ac952e9af8cdb12c97,starknet,Nostra,Nostra,lending,"defi,lending"
0x04f18ffc850cdfa223a530d7246d3c6fc12a5969e0aa5d4a88f470f5fe6c46e9,starknet,Nostra,Nostra,lending,"defi,lending"
0x066037c083c33330a8460a65e4748ceec275bbf5f28aa71b686cbc0010e12597,starknet,Nostra,Nostra,lending,"defi,lending"
0x01325caf7c91ee415b8df721fb952fa88486a0fc250063eafddd5d3c67867ce7,starknet,Nostra,Nostra,lending,"defi,lending"
0x0142af5b6c97f02cac9c91be1ea9895d855c5842825cb2180673796e54d73dc5,starknet,Nostra,Nostra,lending,"defi,lending"
0x044debfe17e4d9a5a1e226dabaf286e72c9cc36abbe71c5b847e669da4503893,starknet,Nostra,Nostra,lending,"defi,lending"
0x005c4676bcb21454659479b3cd0129884d914df9c9b922c1c649696d2e058d70,starknet,Nostra,Nostra,lending,"defi,lending"
0x0514bd7ee8c97d4286bd481c54aa0793e43edbfb7e1ab9784c4b30469dcf9313,starknet,Nostra,Nostra,lending,"defi,lending"
0x05f296e1b9f4cf1ab452c218e72e02a8713cee98921dad2d3b5706235e128ee4,starknet,Nostra,Nostra,lending,"defi,lending"
0x04619e9ce4109590219c5263787050726be63382148538f3f936c22aa87d2fc2,starknet,Nostra,Nostra,lending,"defi,lending"
0x0735d0f09a4e8bf8a17005fa35061b5957dcaa56889fc75df9e94530ff6991ea,starknet,Nostra,Nostra,lending,"defi,lending"
0x05a039ff36caf644c6f736c4afb82a7076904a99da4e3ff0a7da57b4017f8d39,starknet,Nostra,Nostra,lending,"defi,lending"
0x00365a0163903df975000160ff8f4480fda4d903c9d5a0643cd13908ecb41f28,starknet,Nostra,Nostra,lending,"defi,lending"
0x02a93ef8c7679a5f9b1fcf7286a6e1cadf2e9192be4bcb5cb2d1b39062697527,starknet,Nostra,Nostra,lending,"defi,lending"
0x06eda767a143da12f70947192cd13ee0ccc077829002412570a88cd6539c1d85,starknet,Nostra,Nostra,lending,"defi,lending"
0x076def79cc9a3a375779c163ad12996f99fbeb4acd68d7041529159bde897160,starknet,Nostra,Nostra,lending,"defi,lending"
0x0362ec0c49a9c8f2d322d0ba6a8ec1214b9e4f7e80a17d462ec2585362547d95,starknet,Nostra,Nostra,lending,"defi,lending"
0x06669cb476aa7e6a29c18b59b54f30b8bfcfbb8444f09e7bbb06c10895bf5d7b,starknet,Nostra,Nostra,lending,"defi,lending"
0x022ccca3a16c9ef0df7d56cbdccd8c4a6f98356dfd11abc61a112483b242db90,starknet,Nostra,Nostra,lending,"defi,lending"
0x016e7a7f6f1c205ab9cbbf8e1c170eb6a88a3f51706be8dfa59fc3f1b20a35d7,starknet,Nostra,Nostra,lending,"defi,lending"
0x05737b6463e8aab45d9237180ac68515a49fa3e0656f06b5831c15c69af83332,starknet,Nostra,Nostra,lending,"defi,lending"
0x03830e4eda8e20783529b5316c0469f6f471b72c89be5369fbd5246c77b21936,starknet,OnChainGM,OnChainGM,social,social
0x06428ec3221f369792df13e7d59580902f1bfabd56a81d30224f4f282ba380cd,starknet,Opus,Opus,derivatives,"defi,options"
0x0498edfaf50ca5855666a700c25dd629d577eb9afccdf3b5977aec79aee55ada,starknet,Opus,Opus,derivatives,"defi,options"
0x07558a9da2fac57f5a4381fef8c36c92ca66adc20978063982382846f72a4448,starknet,Opus,Opus,derivatives,"defi,options"
0x02d1e95661e7726022071c06a95cdae092595954096c373cde24a34bb3984cbf,starknet,Opus,Opus,derivatives,"defi,options"
0x05bc1c8a78667fac3bf9617903dbf2c1bfe3937e1d37ada3d8b86bf70fb7926e,starknet,Opus,Opus,derivatives,"defi,options"
0x0315ce9c5d3e5772481181441369d8eea74303b9710a6c72e3fcbbdb83c0dab1,starknet,Opus,Opus,derivatives,"defi,options"
0x031a96fe18fe3fdab28822c82c81471f1802800723c8f3e209f1d9da53bc637d,starknet,Opus,Opus,derivatives,"defi,options"
0x04d0bb0a4c40012384e7c419e6eb3c637b28e8363fb66958b60d90505b9c072f,starknet,Opus,Opus,derivatives,"defi,options"
0x066e3e2ea2095b2a0424b9a2272e4058f30332df5ff226518d19c20d3ab8e842,starknet,Opus,Opus,derivatives,"defi,options"
0x000a5e1c1ffe1384b30a464a61b1af631e774ec52c0e7841b9b5f02c6a729bc0,starknet,Opus,Opus,derivatives,"defi,options"
0x05b4ff547559e1b0681e8f62a0d420f83009a6491f4927f3f158b932abff5f7f,starknet,POW!,POW!,other,
0x068a7a07e08fc3e723a878223d00f669106780d5ea6665eb15d893476d47bf3b,starknet,Pistols at Dawn,Pistols at Dawn,gaming,gaming
0x07aaa9866750a0db82a54ba8674c38620fa2f967d2fbb31133def48e0527c87f,starknet,Pistols at Dawn,Pistols at Dawn,gaming,gaming
0x07e2dd623390edcbadde1def93aa6c8a1866c664273d9a4e5f8129a060d25916,starknet,PonziLand,PonziLand,gaming,gaming
0x04479801e8674c839115bc6270b9bde0d3288cc974cc8c3c03e615c44038c0ce,starknet,PonziLand,PonziLand,gaming,gaming
0x04708f47cafbd0f07b42f7831dff8624950e5e847ea761aac22979507bbd1ab5,starknet,PonziLand,PonziLand,gaming,gaming
0x012bfd17cf83c6e263b91778069aef02a52f9eb9bfa28d1fd5303d3afe387c8c,starknet,PonziLand,PonziLand,gaming,gaming
0x02a85bd616f912537c50a49a4076db02c00b29b2cdc8a197ce92ed1837fa875b,starknet,Pragma,Pragma,oracle,oracle
0x024a55b928496ef83468fdb9a5430fe031ac386b8f62f5c2eb7dd20ef7237415,starknet,Pragma,Pragma,oracle,oracle
0x013a0314dd07c6639921bd0e7eb8c865b28b3c7a413238baf804de3464d428dd,starknet,Privacy Pools,Privacy Pools,privacy,privacy
0x02bcaef2eb7706875a5fdc6853dd961a0590f850bc3a031c59887189b5e84ba1,starknet,Re7 Labs,Re7 Labs,lending,"defi,lending"
0x01248e385c23a929a015ec298a26560fa7745bbd6e41a886550e337b02714b1b,starknet,Re7 Labs,Re7 Labs,lending,"defi,lending"
0x01c9232b8186d9317652f05055615f18a120c2ad9e5ee96c39e031c257fb945b,starknet,Re7 Labs,Re7 Labs,lending,"defi,lending"
0x04ce3024b0ee879009112d7b0e073f8a87153dd35b029347d4247ffe48d28f51,starknet,Re7 Labs,Re7 Labs,lending,"defi,lending"
0x0160d8fa4569ef6a12e6bf47cb943d7b5ebba8a41a69a14c1d943050ba5ff947,starknet,Re7 Labs,Re7 Labs,lending,"defi,lending"
0x0351b36d0d9d8b40010658825adeeddb1397436cd41acd0ff6c6e23aaa8b5b30,starknet,Re7 Labs,Re7 Labs,lending,"defi,lending"
0x04718f5a0fc34cc1af16a1cdee98ffb20c31f5cd61d6ab07201858f4287c938d,starknet,STRK Token,STRK Token,token,token
0x04f5e0de717daa6aa8de63b1bf2e8d7823ec5b21a88461b1519d9dbc956fb7f2,starknet,Spiko,Spiko,rwa,rwa
0x020ff2f6021ada9edbceaf31b96f9f67b746662a6e6b2bc9d30c0d3e290a71f6,starknet,Spiko,Spiko,rwa,rwa
0x073314940630fd6dcda0d772d4c972c4e0a9946bef9dabf4ef84eda8ef542b82,starknet,StarkGate,StarkGate,bridge,bridge
0x074761a8d48ce002963002becc6d9c3dd8a2a05b1075d55e5967f42296f16bd0,starknet,StarkGate,StarkGate,bridge,bridge
0x0616757a151c21f9be8775098d591c2807316d992bbc3bb1a5c1821630589256,starknet,StarkGate,StarkGate,bridge,bridge
0x0088eedbe2fe3918b69ccb411713b7fa72079d4eddf291103ccbe41e78a9615c,starknet,StarkGate,StarkGate,bridge,bridge
0x05cd48fccbfd8aa2773fe22c217e808319ffcc1c5a6a463f7d8fa2da48218196,starknet,StarkGate,StarkGate,bridge,bridge
0x0594c1582459ea03f77deaf9eb7e3917d6994a03c13405ba42867f83d85f085d,starknet,StarkGate,StarkGate,bridge,bridge
0x067eb1988556edd7543a3c9ee24cc078be35fd49f0b7f264cc0434aeb6dfb09e,starknet,StarkGate,StarkGate,bridge,bridge
0x075ac198e734e289a6892baa8dd14b21095f13bf8401900f5349d5569c3f6e60,starknet,StarkGate,StarkGate,bridge,bridge
0x06b734db9fd1244f26622204a89dc6e212620f1413ec8cbc46f2c0bb53fc7deb,starknet,Starknet,Starknet,infrastructure,infrastructure
0x06ac597f8116f886fa1c97a23fa4e08299975ecaf6b598873ca6792b9bbfb678,starknet,Starknet ID,Starknet ID,infrastructure,infrastructure
0x05dbdedc203e92749e2e746e2d40a768d966bd243df04a6b712e222bc040a9af,starknet,Starknet ID,Starknet ID,infrastructure,infrastructure
